adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,,0,[],,681834,,['US'],en,Evidence,A journey through a digital installation.,0.0635,,[],[],2000-12-01,0,6,[],Released,,Evidence,False,0.0,0
False,,,0,"[{'id': 18, 'name': 'Drama'}]",,557262,tt9341090,['NL'],nl,Poor Kids,"Twenty-year-old Max is a skipper's child and lives in a boarding school for children without a fixed home situation. During the big holiday, when most children are back with their parents, Max stays with his friends. Together they try to make a home for themselves.",0.6465,/aUrvPnMrVw0UVnrKZEMI9ou7jIB.jpg,[],"[{'iso_3166_1': 'BE', 'name': 'Belgium'}]",2017-10-15,0,18,"[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,Poor Kids,False,0.0,0
False,/akR67SQB9GP56lg3gbTuu7sTI94.jpg,,0,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]",,1206060,,['US'],en,Ed Sheeran V Adele,A head-to-head look at the work of singers Ed Sheeran and Adele. Who will come out on top in this career comparison?,0.0,/z8bxCaSAnXMUvmimzA1ezE19L5U.jpg,[],[],2023-03-12,0,44,[],Released,,Ed Sheeran V Adele,False,0.0,0
False,/oKauqXaW632wJBtyljaTDzjYopZ.jpg,,0,[],,1389747,,['US'],en,New Balance Numeric's Intervals,"From start to finish, the power trio of Westgate, Tiago and Foy deliver an awe-inspiring performance. This video will live on for eternity.",0.0361,/kQZTJ6BXxL6rKuAEQWh0bwvLfyS.jpg,[],[],2024-11-15,0,25,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,New Balance Numeric's Intervals,False,7.0,1
False,,,0,"[{'id': 16, 'name': 'Animation'}]",,529756,,"['US', 'AU']",en,Fifty-Two,A reluctant janitorbot begins the task of cleaning up the volatile atmosphere of the post-apocalyptic world in which he finds himself.,0.0,/gFkSlnnEaDFxBtR6AmzQ6S7GOJL.jpg,[],"[{'iso_3166_1': 'AU', 'name': 'Australia'}]",2017-01-01,0,9,[],Released,,Fifty-Two,False,0.0,0
False,,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,810390,tt0311241,['FR'],fr,Le haleur,,0.1845,/mSFs7AhmirT2luZUYHyHamiMcBr.jpg,"[{'id': 135315, 'logo_path': None, 'name': 'Société des Etablissements L. Gaumont', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]",1911-11-03,0,12,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Le haleur,False,0.0,0
False,/rTmSpDEUzE5dwVgkwRcRiaR7nSv.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",https://curiositystream.com/video/6453,1192302,,['US'],en,Manatees On The Move,Once thought to be mermaids beautiful sirens that could lure sailors to their deaths the blubber butts are actually gentle giants - a unique group of marine mammals the only ones who are strict vegetarians. Elephants and hyraxes complete their bizarre family tree.,0.0071,/udPDJR1ThwbjYrmtm140Rr4hWTv.jpg,"[{'id': 86718, 'logo_path': '/tw1SVioAxByZQqUlZLEoE6ofoiO.png', 'name': 'Doclights', 'origin_country': 'DE'}]","[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2022-05-10,0,50,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Manatees On The Move,False,0.0,0
False,,,0,"[{'id': 35, 'name': 'Comedy'}]",,1459541,tt0024849,['IT'],it,L'avvocato difensore,,1.1918,/qwvTYzGXH5GJd3XlTEClWyQySsA.jpg,"[{'id': 61498, 'logo_path': None, 'name': 'Manenti Film', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]",1934-05-08,0,0,"[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,L'avvocato difensore,False,0.0,0
False,/dWRfBV9TU1YqD38VKN7POYcAY08.jpg,,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,1485934,tt32810473,['US'],en,The Bombshell Butcher,"Candace Higgins, a determined journalist, finds herself with the challenge of finding compelling stories amidst the mundane. A serial killer dubbed ""The Bombshell Butcher"" descends upon the town, offering Candace the scoop of a lifetime.",0.9147,/pOTY6PZR5WJGiO6ZyznX3nroaF5.jpg,[],[],2025-05-19,0,92,[],Released,,The Bombshell Butcher,False,0.0,0
False,,,0,"[{'id': 53, 'name': 'Thriller'}]",,900856,,['PH'],tl,What Happened to Mandy?,,0.0143,/jtHtczG44oyboNHtKRvvotZN5nz.jpg,[],"[{'iso_3166_1': 'PH', 'name': 'Philippines'}]",2019-10-11,0,0,[],Released,,What Happened to Mandy?,False,0.0,0
False,,,0,[],,1126836,,['FR'],fr,Adresse Permanente,A 2014 short by Moffet.,0.0,/4imVkfjtDeyOIT5pK3R0kEriB7t.jpg,[],[],2014-12-01,0,7,"[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Released,,Adresse Permanente,False,0.0,0
