adult,backdrop_path,created_by,episode_run_time,first_air_date,genres,homepage,id,in_production,languages,last_air_date,last_episode_to_air,name,next_episode_to_air,networks,number_of_episodes,number_of_seasons,origin_country,original_language,original_name,overview,popularity,poster_path,production_companies,production_countries,seasons,spoken_languages,status,tagline,type,vote_average,vote_count
FALSE,/kVGvb1sutLA3kia3bdTqRwYnNQU.jpg,"[{'id': 3136608, 'credit_id': '60d659097aecc6005e846cfb', 'name': 'Stefania Rosatto', 'original_name': 'Stefania Rosatto', 'gender': 1, 'profile_path': None}]",[50],2020-03-13,"[{'id': 10764, 'name': 'Reality'}, {'id': 10759, 'name': 'Action & Adventure'}]",https://www.primevideo.com/detail/Celebrity-Hunted/0NHIQO1D3H7GI7TH0ZMGLX8FWQ,100425,TRUE,['it'],2024-05-13,"{'id': 5328909, 'name': 'Episode 6', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2024-05-13', 'episode_number': 6, 'episode_type': 'standard', 'production_code': '', 'runtime': 42, 'season_number': 4, 'show_id': 100425, 'still_path': None}",Celebrity Hunted Italy,,"[{'id': 1024, 'logo_path': '/w7HfLNm9CWwRmAMU58udl2L7We7.png', 'name': 'Prime Video', 'origin_country': ''}]",24,4,['IT'],it,Celebrity Hunted: Caccia all'uomo,,1.6704,/pNiYtQOg3Y6fWMbbfS4lWZyVuil.jpg,"[{'id': 113774, 'logo_path': '/nSeqwmy9llGSEl3qFxj1zODzMm2.png', 'name': 'EndemolShine Italy', 'origin_country': 'IT'}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}]","[{'air_date': '2020-01-23', 'episode_count': 4, 'id': 177847, 'name': 'Specials', 'overview': '', 'poster_path': None, 'season_number': 0, 'vote_average': 0.0}, {'air_date': '2020-03-13', 'episode_count': 6, 'id': 145085, 'name': 'Season 1', 'overview': '', 'poster_path': '/vikqlQEvknzb4OuumHK295bTUqD.jpg', 'season_number': 1, 'vote_average': 8.0}, {'air_date': '2021-06-18', 'episode_count': 6, 'id': 199542, 'name': 'Season 2', 'overview': '', 'poster_path': '/e2BPBKtrZSDkFqrjgSnR22ntgkQ.jpg', 'season_number': 2, 'vote_average': 0.0}, {'air_date': '2022-11-17', 'episode_count': 6, 'id': 316980, 'name': 'Season 3', 'overview': '', 'poster_path': '/fBzaKbTeaHDCurKCdLkOg421zrt.jpg', 'season_number': 3, 'vote_average': 0.0}, {'air_date': '2024-05-06', 'episode_count': 6, 'id': 389436, 'name': 'Season 4', 'overview': '', 'poster_path': '/eSvDpNFmvBseV30Vw0bwOQ3CWPl.jpg', 'season_number': 4, 'vote_average': 0.0}]","[{'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}]",Returning Series,,Reality,6.25,36
FALSE,/bBFK34QI8dS4JJ4PN8EfRUU2C0g.jpg,"[{'id': 3073542, 'credit_id': '608c26adf8aee800578e5d3f', 'name': 'ETIENNE MAGNIN', 'original_name': 'ETIENNE MAGNIN', 'gender': 0, 'profile_path': None}, {'id': 3073556, 'credit_id': '64d34a8db6c2641158c543c3', 'name': 'Christophe Hanauer', 'original_name': 'Christophe Hanauer', 'gender': 0, 'profile_path': '/iqTH6MKkKrH9UNQymDSggn2kgMM.jpg'}]",[26],2020-11-16,"[{'id': 99, 'name': 'Documentary'}]",,124582,FALSE,"['de', 'fr']",2021-01-11,"{'id': 2916289, 'name': 'Episode 9', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2021-01-11', 'episode_number': 9, 'episode_type': 'finale', 'production_code': '', 'runtime': 26, 'season_number': 1, 'show_id': 124582, 'still_path': '/fHL23uNyeM4L1PRZf1RHUca5G7G.jpg'}",Les 7 Eglises de l'Apocalypse,,"[{'id': 2032, 'logo_path': '/7wJmmffmEUVrvypzWI3AfL5xuro.png', 'name': 'PLANÈTE+', 'origin_country': 'FR'}]",9,1,['FR'],fr,Les 7 Eglises de l'Apocalypse,,0.101,/oSuvuDloMnod0gICZSEnupxyKa6.jpg,"[{'id': 153524, 'logo_path': None, 'name': 'SAJE Distribution', 'origin_country': 'FR'}, {'id': 126339, 'logo_path': None, 'name': 'Millenium Productions', 'origin_country': ''}, {'id': 153525, 'logo_path': None, 'name': '7 SEVEN Production', 'origin_country': ''}, {'id': 153526, 'logo_path': '/cLl7fQa2i3qBogjgnECEWHG4z6y.png', 'name': 'Periferi Film', 'origin_country': 'TR'}, {'id': 108093, 'logo_path': None, 'name': 'Sixtine', 'origin_country': ''}, {'id': 153527, 'logo_path': None, 'name': 'Fondation Martin Bodmer', 'origin_country': ''}, {'id': 153528, 'logo_path': None, 'name': 'Zewatchers', 'origin_country': ''}]","[{'iso_3166_1': 'FR', 'name': 'France'}]","[{'air_date': '2020-11-16', 'episode_count': 9, 'id': 192997, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Ended,,Documentary,10,1
FALSE,/lz6FhQD3aClkq9gUAG3AyQQ2rk5.jpg,"[{'id': 1256725, 'credit_id': '5690d21d9251414565001d65', 'name': 'Masatoshi Yamaguchi', 'original_name': '山口雅俊', 'gender': 2, 'profile_path': '/8IudNS2L7ZOvje2NbmCZdCl66f7.jpg'}]",[60],2002-01-09,"[{'id': 10765, 'name': 'Sci-Fi & Fantasy'}, {'id': 18, 'name': 'Drama'}]",,19652,FALSE,['ja'],2002-03-20,"{'id': 576381, 'name': 'Episode 11', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2002-03-20', 'episode_number': 11, 'episode_type': 'finale', 'production_code': '', 'runtime': 60, 'season_number': 1, 'show_id': 19652, 'still_path': '/rqkWtwG8uDug0sOaghq5xFEhUX0.jpg'}",Long Love Letter,,"[{'id': 1, 'logo_path': '/4x4GsmRmSLLL0RVNKsoqAVH43tz.png', 'name': 'Fuji TV', 'origin_country': 'JP'}]",11,1,['JP'],ja,ロング・ラブレター～漂流教室,"It's January 7, just after the New Year begins. Make up classes are being held for students that aren't keeping up with their daily studies; anxious students are there to discuss their exams; and club activities are still in progress. 

Asami Akio, a teacher, finds himself at the gate of the school with Misaki Yuka, a woman he met long ago and had lost contact with. Before he can explain their disconnect, a group shudders as an earthquakes rocks the school. When it subsides... nothing is the same.",3.5495,/hKE5ePqh5XnF9XxBEzHYSsyXNSb.jpg,[],[],"[{'air_date': '2002-01-09', 'episode_count': 11, 'id': 29933, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Ended,,Scripted,6.3,7
FALSE,,[],[],2023-04-15,[],,291667,TRUE,[],2023-04-15,"{'id': 6239486, 'name': ""KidCity's Ink Machine Mischief!"", 'overview': 'Little Flash is saved from Bendy and the Ink Machine; the KidCity family escapes the Bendy zone!', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2023-04-15', 'episode_number': 1, 'episode_type': 'standard', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 291667, 'still_path': None}",Pocket Watch Kidcity Ultimate Mishmash,,[],1,1,['US'],en,Pocket Watch Kidcity Ultimate Mishmash,"It's time for fun and games with the popular vlogging family known as KidCity. Join this crew of four - Little Flash, Ava, DadCity, and MomCity - in KidCity Ultimate mishmash, the brand new series filled with laughter, family adventures, challenges, and so much more.",0,,[],[],"[{'air_date': '2023-04-15', 'episode_count': 1, 'id': 456847, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}]",[],Returning Series,,Scripted,0,0
FALSE,/ryD8VPT7U4OvmP77P8mYSjCE4Xz.jpg,"[{'id': 2163927, 'credit_id': '5bd6fc54c3a368211203bc61', 'name': 'Germán Castro Caycedo', 'original_name': 'Germán Castro Caycedo', 'gender': 0, 'profile_path': None}]",[50],2011-05-30,"[{'id': 18, 'name': 'Drama'}]",http://www.caracoltv.com/labruja,46986,FALSE,['es'],2011-07-07,"{'id': 2897499, 'name': 'Episode 29', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2011-07-07', 'episode_number': 29, 'episode_type': 'finale', 'production_code': '', 'runtime': 50, 'season_number': 1, 'show_id': 46986, 'still_path': '/oaNQT1iBYvVW5sonSXJoeVXIb0R.jpg'}",The Witch,,"[{'id': 500, 'logo_path': '/6lbu3Xq8ZsTMrS0AnPfMtPhjxQk.png', 'name': 'Caracol TV', 'origin_country': 'CO'}]",29,1,['CO'],es,La Bruja,"The Witch is a 2011 Colombian telenovela starring Flora Martínez, based on the novel of the same name by Colombian writer Germán Castro Caycedo.",1.2823,/dNGMGzB8WykqLGlFlh0u2qdauWq.jpg,[],"[{'iso_3166_1': 'CO', 'name': 'Colombia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'air_date': '2011-05-30', 'episode_count': 29, 'id': 111688, 'name': 'Season 1', 'overview': '', 'poster_path': '/sJpJa19EffbrUNBKg4mNrGogOA7.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Ended,,Scripted,7.217,69
FALSE,/bqy2S8lAZDe2zWCyoC5oQvk5blw.jpg,"[{'id': 1456126, 'credit_id': '6469d0b72bcf6700fe60ba03', 'name': 'Kay Conlu-Brondial', 'original_name': 'Kay Conlu-Brondial', 'gender': 0, 'profile_path': None}, {'id': 4072998, 'credit_id': '6469d12d33a3760175d3253b', 'name': 'Clark Tolon', 'original_name': 'Clark Tolon', 'gender': 0, 'profile_path': None}, {'id': 4072997, 'credit_id': '6469d126c3514c01745c3c3f', 'name': 'Myrna Garnace Tagasa', 'original_name': 'Myrna Garnace Tagasa', 'gender': 0, 'profile_path': None}]",[],2008-08-11,"[{'id': 10765, 'name': 'Sci-Fi & Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 10759, 'name': 'Action & Adventure'}]",http://beta.abs-cbn.com/tabid/71/xmmid/387/Article/10809/program/dyosa/xmview/2/Default.aspx,7295,FALSE,"['en', 'tl']",2009-01-16,"{'id': 4458992, 'name': 'Episode 115', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2009-01-16', 'episode_number': 115, 'episode_type': 'finale', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 7295, 'still_path': None}",Dyosa,,"[{'id': 20, 'logo_path': '/kdcvqvutGKUsIkeSVGl8pQMkc3k.png', 'name': 'ABS-CBN', 'origin_country': 'PH'}]",115,1,['PH'],tl,Dyosa,"Dyosa is a fantasy series that is aired in Philippines by broadcaster ABS-CBN and starred by Anne Curtis, Sam Milby, Zanjoe Marudo and Luis Manzano and was directed by Wenn Deramas.",2.6644,/oWaC4sb5vGZ56IGOqRPpmW1EXGD.jpg,[],"[{'iso_3166_1': 'PH', 'name': 'Philippines'}]","[{'air_date': '2008-08-11', 'episode_count': 115, 'id': 341694, 'name': 'Season 1', 'overview': '', 'poster_path': '/oWaC4sb5vGZ56IGOqRPpmW1EXGD.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}]",Ended,,Scripted,0,0
FALSE,/abbXXQjF1LNDs4iRxmxmsEvjOsD.jpg,[],[90],2010-05-16,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",http://event.cts.com.tw/callinglove/,58840,FALSE,['zh'],2010-05-23,"{'id': 3196968, 'name': 'Episode 2', 'overview': '', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2010-05-23', 'episode_number': 2, 'episode_type': 'standard', 'production_code': '', 'runtime': 90, 'season_number': 1, 'show_id': 58840, 'still_path': None}",Calling For Love,,"[{'id': 401, 'logo_path': '/vYmVFpUIzodAYpVyUzkW62n9Dz.png', 'name': 'CTS', 'origin_country': 'TW'}]",14,1,['TW'],zh,呼叫大明星,"Calling For Love is a 2010 Taiwanese drama starring Charlene Choi, Mike He, Chen Zhi Kai and Zhou Cai Shi. It was produced by Comic Ritz International Production with Chai Zhi Ping as producer and directed by Lin He Long.

The series was first broadcast in Taiwan on free-to-air Chinese Television System from May 16 to August 15, 2010 every Sunday at 22:00-23:00. On October 18 then ""Purple Rose"" aired after was not approved by the mainland side quasi broadcast license late, and eventually replaced by the ""Sweetheart"", ""starlight fairy"". May 16, 2010, broadcast on CTS.",4.0226,/cnKJXdP1JoKpwVYpbMBK9Tua7F2.jpg,[],"[{'iso_3166_1': 'TW', 'name': 'Taiwan'}]","[{'air_date': '2010-05-16', 'episode_count': 14, 'id': 63128, 'name': 'Season 1', 'overview': '', 'poster_path': '/gSwbkHZCHLAUlG1oGeNg7cvW7ZC.jpg', 'season_number': 1, 'vote_average': 0.0}]","[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}]",Ended,,Scripted,0,0
FALSE,/dAXej68c1I68bQahHameQZyKwyS.jpg,"[{'id': 175285, 'credit_id': '6018f2e8bc8657003eb8e826', 'name': 'Sherry White', 'original_name': 'Sherry White', 'gender': 1, 'profile_path': '/dMpDIB9SohqJm0X20iw44Kp4UJ3.jpg'}, {'id': 1228302, 'credit_id': '6018f2e2e942ee0040f2d352', 'name': 'Tassie Cameron', 'original_name': 'Tassie Cameron', 'gender': 1, 'profile_path': '/9NSy2Nh7TKkAya5qgL51bixTrnZ.jpg'}]",[44],2021-02-03,"[{'id': 35, 'name': 'Comedy'}, {'id': 10759, 'name': 'Action & Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",https://www.cbc.ca/prettyhardcases/,117327,FALSE,['en'],2023-03-08,"{'id': 4252852, 'name': 'Creatures of Habit', 'overview': 'The OCE team works together to exonerate Naz and stop purple rain. Kelly and Nathan go undercover, Sam talks to an old friend, and Naz scrambles to remember a detail that can help arrest a killer. Series finale.', 'vote_average': 5.0, 'vote_count': 2, 'air_date': '2023-03-08', 'episode_number': 10, 'episode_type': 'finale', 'production_code': '', 'runtime': 43, 'season_number': 3, 'show_id': 117327, 'still_path': '/o7zab0F81eAJHSFpQaeYGYiJdXt.jpg'}",Pretty Hard Cases,,"[{'id': 23, 'logo_path': '/zjgqkIvBURbwoHbHhmnzaTFyZgR.png', 'name': 'CBC Television', 'origin_country': 'CA'}]",32,3,['CA'],en,Pretty Hard Cases,"A fun and honest portrayal of two radically different female detectives in their early 40s following Guns and Gangs detective Sam and Narcotics detective Kelly, who by day are true action heroes in their own particular way: skilled, tough, determined, and ruthless. But by night, they’re both grappling with loneliness, dysfunctional families, screwed-up love lives, and a sense that their professional ambitions may not be totally in line with their personal needs.",4.4863,/logy60poXm2R5RKPE0YaArgcZv1.jpg,"[{'id': 85211, 'logo_path': '/cOxn2RCPe7g9LUxBXUJEW7Bl2TI.png', 'name': 'Cameron Pictures', 'origin_country': 'CA'}, {'id': 87455, 'logo_path': '/c9sx9cexshcEIyo0u1R3yoGsjzB.png', 'name': 'Universal International Studios', 'origin_country': 'GB'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'air_date': '2021-02-03', 'episode_count': 10, 'id': 177973, 'name': 'Season 1', 'overview': ""Pretty Hard Cases follows Guns and Gangs detective Samantha Wazowski and Narcotics detective Kelly Duff, who by day are true action heroes. But by night, they're both grappling with loneliness, dysfunctional families and screwed-up love lives. Their friendship could help to balance each other out, if only they didn’t drive one another utterly insane."", 'poster_path': '/6Dph48dcMQSpJmXftSeQPaWYjEL.jpg', 'season_number': 1, 'vote_average': 8.7}, {'air_date': '2022-01-05', 'episode_count': 12, 'id': 221038, 'name': 'Season 2', 'overview': 'Season 2 finds Sam and Kelly in brand new territory, both at work and in their personal lives. As official partners for the first time, they have never been better at blending their different skills to get the job done. In the spirit of moving forward, they’re also trying to leave their baggage behind. Sam is now an empty-nester with a new love life, while Kelly is forging fresh bonds with her estranged sisters. When they find themselves up against a new age gang that doesn’t operate by the same old rules, Sam and Kelly are forced to put their lives on the line as they attempt the riskiest takedown of their careers.', 'poster_path': '/logy60poXm2R5RKPE0YaArgcZv1.jpg', 'season_number': 2, 'vote_average': 9.0}, {'air_date': '2023-01-04', 'episode_count': 10, 'id': 318169, 'name': 'Season 3', 'overview': 'Newly reunited as partners in Guns and Gangs, Detectives Samantha Wazowski and Kelly Duff must risk their lives to take down a dangerous gang, and a deadly new synthetic drug.', 'poster_path': '/8KW6VNIGdvKMzTiXOIeSliWBiHx.jpg', 'season_number': 3, 'vote_average': 6.5}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Ended,,Scripted,6.355,31
FALSE,,[],[],2008-05-06,[],,157422,TRUE,[],2008-05-06,"{'id': 3499705, 'name': 'Making the Movie', 'overview': 'The show was a live production in making movies and audition styles Tv show.', 'vote_average': 0.0, 'vote_count': 0, 'air_date': '2008-05-06', 'episode_number': 1, 'episode_type': 'finale', 'production_code': '', 'runtime': None, 'season_number': 1, 'show_id': 157422, 'still_path': None}",TY Mack Project on National TV,,[],1,3,['US'],en,TY Mack Project on National TV,A show about audition and hosting a variety of productions on tv.,0.0214,,[],[],"[{'air_date': '2008-05-06', 'episode_count': 1, 'id': 243511, 'name': 'Making the Movie', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 0.0}, {'air_date': None, 'episode_count': 0, 'id': 243512, 'name': 'Making The Movie', 'overview': '', 'poster_path': None, 'season_number': 2, 'vote_average': 0.0}, {'air_date': None, 'episode_count': 0, 'id': 243513, 'name': 'Making the Movie', 'overview': '', 'poster_path': None, 'season_number': 3, 'vote_average': 0.0}]",[],Returning Series,,Reality,10,1
FALSE,,[],[90],2023-04-18,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",https://www.france.tv/france-3/la-doc-et-le-veto/,224742,FALSE,['fr'],2024-06-11,"{'id': 5393621, 'name': 'The Black Pen', 'overview': '', 'vote_average': 7.5, 'vote_count': 2, 'air_date': '2024-06-11', 'episode_number': 2, 'episode_type': 'standard', 'production_code': '', 'runtime': 90, 'season_number': 2, 'show_id': 224742, 'still_path': None}",La Doc et le Véto,,"[{'id': 249, 'logo_path': '/1ePfTUHHvBlVQxa0Fltx5kWhIs5.png', 'name': 'France 3', 'origin_country': 'FR'}]",6,2,['FR'],fr,La Doc et le Véto,,0.5051,/u0IgALBFI2nkqKg3QmvATncKOZO.jpg,"[{'id': 11244, 'logo_path': '/gCHH1xt3dKjlm9NuMPF9ekpPWD6.png', 'name': 'France 3', 'origin_country': 'FR'}, {'id': 4599, 'logo_path': '/sAW9KzIfOs4LgXEXqaWrEUTGkRQ.png', 'name': 'Be-FILMS', 'origin_country': 'BE'}]","[{'iso_3166_1': 'FR', 'name': 'France'}]","[{'air_date': '2023-04-18', 'episode_count': 2, 'id': 337510, 'name': 'Season 1', 'overview': '', 'poster_path': None, 'season_number': 1, 'vote_average': 7.0}, {'air_date': '2024-06-04', 'episode_count': 4, 'id': 397088, 'name': 'Season 2', 'overview': '', 'poster_path': None, 'season_number': 2, 'vote_average': 7.5}]","[{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}]",Ended,,Miniseries,5.5,4
